EADARP version ecec-dirty
ARGS: --ifile=EADARP/instances/random/r8-96-00000.txt  --gamma=0.7 --only_single_s_visits=false --odir=EADARP/solutions/random/r8-96-00000 --oname=run74
Settings:
--alns_gamma=0.025
--alns_segment_size=100
--alns_sigma1=10
--alns_sigma2=9
--alns_sigma3=3
--at_most_one_s=false
--gamma=0.7
--ifile=EADARP/instances/random/r8-96-00000.txt
--infeasible_arcs=EADARP/infeasible_arcs
--insert_charging_otf=true
--insert_cost_noise=0.014
--lns_init_temp_factor=0.0
--lns_temp_dec_factor=0.99
--log_all_sols_fname=
--mh_checkit=false
--mh_lfreq=0
--mh_lnewinc=true
--mh_tciter=-1
--mh_tctime=-1.0
--mh_titer=30000
--mh_tobj=-1.0
--mh_ttime=-1.0
--odir=EADARP/solutions/random/r8-96-00000
--ofile=
--oname=run74
--only_single_s_visits=false
--prepthreshold=0.1
--repair_max_routes=0
--route_based_ops=0
--seed=2084876177
--tightened_windows=EADARP/tightened_windows
--use_milp_in_otf=0
--xcheck_isfeasible=false

EADARPInstance(EADARP/instances/random/r8-96-00000.txt, n=96, n_K=8, S=[209, 210, 211], Q=14.85, n_F=8, γ=0.7, T_plan=720.0, F=[201, 202, 203, 204, 205, 206, 207, 208])

Percentage of arcs removed: 74.09537072392803%
Minimum Degree: 10
T preprocessing time [s]: 21.031
I       iter             best          obj_old          obj_new        time              method info
I       4196       1023.66408       1023.83133       1023.66408     20.5280         drrr_15+rrg 
I       4200       1023.50589       1023.66408       1023.50589     20.5330        drrr_15+rroi 
I       4240       1023.50589       1023.50589       1023.50589     20.6370         drrr_15+rrg 
I       4248       1023.50240       1023.50589       1023.50240     20.6620         drrr_15+rrg 
I       4249       1023.50240       1023.50240       1023.50240     20.6790         drrr_15+rrg 
I       4828       1023.10602       1023.50240       1023.10602     22.3160        drrr_15+rroi 
I       4871       1022.86816       1023.10602       1022.86816     22.4390        drrr_15+rroi 
I       4975       1022.70092       1022.86816       1022.70092     22.7510         drrr_15+rrg 
I       5166       1021.79799       1022.70092       1021.79799     23.2430        drrr_15+rroi 
I       5200       1020.85233       1021.79799       1020.85233     23.3460        drrr_15+rroi 
I       5214       1020.84885       1020.85233       1020.84885     23.3750         drrr_15+rrg 
I       5404       1020.68160       1020.84885       1020.68160     23.8270        drrr_15+rroi 
I       6275       1019.97585       1020.68160       1019.97585     25.9190        drrr_15+rrri 
I       6309       1019.34019       1019.97585       1019.34019     26.0570         drrr_15+rrg 
I       6361       1015.84257       1019.34019       1015.84257     26.1820        drrr_15+rrri 
I       6377       1015.79515       1015.84257       1015.79515     26.2350        drrr_15+rroi 
I       6442       1015.20365       1015.79515       1015.20365     26.4610        drrr_15+rrri 
I       6844       1013.76755       1015.20365       1013.76755     27.5300        drrr_15+rrri 
I       6916       1013.20937       1013.76755       1013.20937     27.7280         drrr_15+rrg 
I       6921       1013.20937       1013.20937       1013.20937     27.7360        drrr_15+rrri 
